day_name,hour,avg_demand
Monday,0,712.0
Monday,1,426.5
Monday,2,272.0
Monday,3,181.0
Monday,4,133.0
Monday,5,141.0
Monday,6,405.0
Monday,7,740.5
Monday,8,1296.0
Monday,9,1626.0
Monday,10,5130.5
Monday,11,14608.0
Monday,12,7485.5
Monday,13,3623.5
Monday,14,2654.0
Monday,15,2368.5
Monday,16,3120.0
Monday,17,6988.0
Monday,18,9303.5
Monday,19,6425.0
Monday,20,4093.5
Monday,21,2809.0
Monday,22,1788.0
Monday,23,1102.0
Tuesday,0,674.0
Tuesday,1,404.0
Tuesday,2,277.0
Tuesday,3,182.0
Tuesday,4,108.0
Tuesday,5,115.0
Tuesday,6,451.0
Tuesday,7,763.0
Tuesday,8,1381.0
Tuesday,9,1660.0
Tuesday,10,5412.0
Tuesday,11,15054.0
Tuesday,12,7688.0
Tuesday,13,3589.0
Tuesday,14,2641.0
Tuesday,15,2494.0
Tuesday,16,2916.0
Tuesday,17,7333.0
Tuesday,18,9900.0
Tuesday,19,6729.0
Tuesday,20,4295.0
Tuesday,21,1436.5
Tuesday,22,1845.0
Tuesday,23,1270.0
Wednesday,0,679.0
Wednesday,1,441.0
Wednesday,2,227.0
Wednesday,3,136.0
Wednesday,4,131.0
Wednesday,5,134.0
Wednesday,6,425.0
Wednesday,7,739.0
Wednesday,8,1327.0
Wednesday,9,1651.0
Wednesday,10,5220.0
Wednesday,11,7510.5
Wednesday,12,7542.0
Wednesday,13,3431.0
Wednesday,14,2717.0
Wednesday,15,1185.0
Wednesday,16,3206.0
Wednesday,17,7256.0
Wednesday,18,9577.0
Wednesday,19,6499.0
Wednesday,20,4095.0
Wednesday,21,2853.0
Wednesday,22,1842.0
Wednesday,23,1284.0
Thursday,0,623.0
Thursday,1,480.0
Thursday,2,303.0
Thursday,3,164.0
Thursday,4,106.0
Thursday,5,127.0
Thursday,6,424.0
Thursday,7,758.0
Thursday,8,1313.0
Thursday,9,1738.0
Thursday,10,5233.0
Thursday,11,15338.0
Thursday,12,7662.0
Thursday,13,3634.0
Thursday,14,2523.0
Thursday,15,2362.0
Thursday,16,3360.0
Thursday,17,7085.0
Thursday,18,9467.0
Thursday,19,6571.0
Thursday,20,3876.0
Thursday,21,2886.0
Thursday,22,1881.0
Thursday,23,1240.0
Friday,0,679.0
Friday,1,468.0
Friday,2,304.0
Friday,3,181.0
Friday,4,122.0
Friday,5,136.0
Friday,6,468.0
Friday,7,802.0
Friday,8,1365.0
Friday,9,1727.0
Friday,10,5232.0
Friday,11,7584.0
Friday,12,7766.0
Friday,13,3759.0
Friday,14,2677.0
Friday,15,1243.0
Friday,16,3461.0
Friday,17,7910.0
Friday,18,5169.0
Friday,19,7143.0
Friday,20,4598.0
Friday,21,3093.0
Friday,22,1014.5
Friday,23,1397.0
Saturday,0,720.0
Saturday,1,436.0
Saturday,2,283.0
Saturday,3,185.0
Saturday,4,134.0
Saturday,5,146.0
Saturday,6,334.0
Saturday,7,534.5
Saturday,8,1608.0
Saturday,9,1023.5
Saturday,10,3002.5
Saturday,11,14894.0
Saturday,12,9693.0
Saturday,13,4909.0
Saturday,14,3247.0
Saturday,15,3108.0
Saturday,16,1924.0
Saturday,17,4337.5
Saturday,18,10099.0
Saturday,19,6593.0
Saturday,20,2167.5
Saturday,21,1498.0
Saturday,22,2072.0
Saturday,23,1353.0
Sunday,0,425.5
Sunday,1,496.0
Sunday,2,307.0
Sunday,3,167.0
Sunday,4,127.0
Sunday,5,159.0
Sunday,6,330.0
Sunday,7,967.0
Sunday,8,829.5
Sunday,9,1168.0
Sunday,10,3040.0
Sunday,11,7341.0
Sunday,12,4740.0
Sunday,13,2419.0
Sunday,14,3659.0
Sunday,15,1647.5
Sunday,16,2092.0
Sunday,17,4523.5
Sunday,18,5056.5
Sunday,19,3265.5
Sunday,20,2071.5
Sunday,21,1381.5
Sunday,22,921.5
Sunday,23,656.5
