day_name,hour,avg_demand
Monday,0,512.0
Monday,1,367.0
Monday,2,194.0
Monday,3,206.5
Monday,4,86.5
Monday,5,121.5
Monday,6,292.5
Monday,7,637.0
Monday,8,989.0
Monday,9,1853.5
Monday,10,3836.5
Monday,11,12563.0
Monday,12,5595.5
Monday,13,4131.0
Monday,14,1966.5
Monday,15,2037.0
Monday,16,2552.5
Monday,17,7966.5
Monday,18,7776.5
Monday,19,7324.5
Monday,20,3026.5
Monday,21,3202.5
Monday,22,1364.5
Monday,23,947.5
Tuesday,0,579.5
Tuesday,1,530.0
Tuesday,2,238.0
Tuesday,3,237.5
Tuesday,4,93.0
Tuesday,5,155.5
Tuesday,6,514.0
Tuesday,7,991.5
Tuesday,8,1574.5
Tuesday,9,2254.5
Tuesday,10,4654.5
Tuesday,11,19546.0
Tuesday,12,8764.5
Tuesday,13,4848.0
Tuesday,14,3010.5
Tuesday,15,3355.5
Tuesday,16,3324.0
Tuesday,17,9943.0
Tuesday,18,11286.0
Tuesday,19,8699.0
Tuesday,20,4896.5
Tuesday,21,1866.5
Tuesday,22,2103.5
Tuesday,23,1559.5
Wednesday,0,522.0
Wednesday,1,502.5
Wednesday,2,171.0
Wednesday,3,155.0
Wednesday,4,90.5
Wednesday,5,153.0
Wednesday,6,344.0
Wednesday,7,842.5
Wednesday,8,1141.0
Wednesday,9,1882.0
Wednesday,10,4114.0
Wednesday,11,8615.5
Wednesday,12,6425.5
Wednesday,13,3911.5
Wednesday,14,2320.5
Wednesday,15,1331.5
Wednesday,16,2604.0
Wednesday,17,8330.0
Wednesday,18,8236.0
Wednesday,19,7409.0
Wednesday,20,3286.5
Wednesday,21,3252.5
Wednesday,22,1434.5
Wednesday,23,1445.0
Thursday,0,536.0
Thursday,1,685.0
Thursday,2,260.5
Thursday,3,238.0
Thursday,4,91.0
Thursday,5,170.0
Thursday,6,483.5
Thursday,7,1099.0
Thursday,8,1497.0
Thursday,9,2270.0
Thursday,10,5965.5
Thursday,11,21198.0
Thursday,12,8836.0
Thursday,13,5253.5
Thursday,14,2876.0
Thursday,15,3309.0
Thursday,16,3830.5
Thursday,17,10273.0
Thursday,18,11151.0
Thursday,19,9528.0
Thursday,20,4418.5
Thursday,21,4109.0
Thursday,22,1617.5
Thursday,23,1740.0
Friday,0,558.0
Friday,1,551.5
Friday,2,244.5
Friday,3,231.5
Friday,4,92.5
Friday,5,168.5
Friday,6,402.5
Friday,7,972.5
Friday,8,1174.0
Friday,9,2123.0
Friday,10,4499.5
Friday,11,9646.0
Friday,12,6679.0
Friday,13,4946.0
Friday,14,2302.0
Friday,15,1494.0
Friday,16,2976.5
Friday,17,9572.0
Friday,18,4445.5
Friday,19,8540.0
Friday,20,3954.5
Friday,21,3587.0
Friday,22,889.0
Friday,23,1592.5
Saturday,0,619.0
Saturday,1,577.0
Saturday,2,243.5
Saturday,3,263.5
Saturday,4,113.0
Saturday,5,192.5
Saturday,6,381.0
Saturday,7,773.0
Saturday,8,1833.0
Saturday,9,1362.5
Saturday,10,3423.0
Saturday,11,20419.0
Saturday,12,11050.0
Saturday,13,7090.0
Saturday,14,2792.5
Saturday,15,4025.0
Saturday,16,2193.5
Saturday,17,6289.5
Saturday,18,11418.5
Saturday,19,8712.0
Saturday,20,2471.0
Saturday,21,2048.5
Saturday,22,1782.0
Saturday,23,1842.5
Sunday,0,276.5
Sunday,1,417.0
Sunday,2,199.5
Sunday,3,143.5
Sunday,4,82.5
Sunday,5,139.5
Sunday,6,232.0
Sunday,7,831.5
Sunday,8,563.5
Sunday,9,1021.5
Sunday,10,1988.5
Sunday,11,6313.5
Sunday,12,3471.5
Sunday,13,2080.5
Sunday,14,2394.5
Sunday,15,1417.0
Sunday,16,1468.5
Sunday,17,3890.0
Sunday,18,3747.0
Sunday,19,2808.5
Sunday,20,1375.5
Sunday,21,1209.0
Sunday,22,599.0
Sunday,23,564.5
