date,day_name,hour,demand_count
2022-10-11,Tuesday,21,1
2022-10-12,Wednesday,11,1
2022-10-12,Wednesday,15,1
2022-10-14,Friday,11,1
2022-10-14,Friday,15,1
2022-10-14,Friday,18,1
2022-10-14,Friday,22,1
2022-10-15,Saturday,7,1
2022-10-15,Saturday,9,1
2022-10-15,Saturday,10,1
2022-10-15,Saturday,16,1
2022-10-15,Saturday,17,1
2022-10-15,Saturday,20,1
2022-10-15,Saturday,21,1
2022-10-16,Sunday,0,1
2022-10-16,Sunday,8,1
2022-10-16,Sunday,9,1
2022-10-16,Sunday,10,3
2022-10-16,Sunday,11,6
2022-10-16,Sunday,12,4
2022-10-16,Sunday,13,3
2022-10-16,Sunday,15,2
2022-10-16,Sunday,16,2
2022-10-16,Sunday,17,8
2022-10-16,Sunday,18,12
2022-10-16,Sunday,19,5
2022-10-16,Sunday,20,21
2022-10-16,Sunday,21,30
2022-10-16,Sunday,22,52
2022-10-16,Sunday,23,59
2022-10-17,Monday,0,738
2022-10-17,Monday,1,401
2022-10-17,Monday,2,282
2022-10-17,Monday,3,185
2022-10-17,Monday,4,135
2022-10-17,Monday,5,157
2022-10-17,Monday,6,435
2022-10-17,Monday,7,729
2022-10-17,Monday,8,1295
2022-10-17,Monday,9,1596
2022-10-17,Monday,10,5003
2022-10-17,Monday,11,14484
2022-10-17,Monday,12,7380
2022-10-17,Monday,13,3611
2022-10-17,Monday,14,2686
2022-10-17,Monday,15,2398
2022-10-17,Monday,16,3024
2022-10-17,Monday,17,6669
2022-10-17,Monday,18,9467
2022-10-17,Monday,19,6460
2022-10-17,Monday,20,4218
2022-10-17,Monday,21,2773
2022-10-17,Monday,22,1800
2022-10-17,Monday,23,1105
2022-10-18,Tuesday,0,674
2022-10-18,Tuesday,1,404
2022-10-18,Tuesday,2,277
2022-10-18,Tuesday,3,182
2022-10-18,Tuesday,4,108
2022-10-18,Tuesday,5,115
2022-10-18,Tuesday,6,451
2022-10-18,Tuesday,7,763
2022-10-18,Tuesday,8,1381
2022-10-18,Tuesday,9,1660
2022-10-18,Tuesday,10,5412
2022-10-18,Tuesday,11,15054
2022-10-18,Tuesday,12,7688
2022-10-18,Tuesday,13,3589
2022-10-18,Tuesday,14,2641
2022-10-18,Tuesday,15,2494
2022-10-18,Tuesday,16,2916
2022-10-18,Tuesday,17,7333
2022-10-18,Tuesday,18,9900
2022-10-18,Tuesday,19,6729
2022-10-18,Tuesday,20,4295
2022-10-18,Tuesday,21,2872
2022-10-18,Tuesday,22,1845
2022-10-18,Tuesday,23,1270
2022-10-19,Wednesday,0,679
2022-10-19,Wednesday,1,441
2022-10-19,Wednesday,2,227
2022-10-19,Wednesday,3,136
2022-10-19,Wednesday,4,131
2022-10-19,Wednesday,5,134
2022-10-19,Wednesday,6,425
2022-10-19,Wednesday,7,739
2022-10-19,Wednesday,8,1327
2022-10-19,Wednesday,9,1651
2022-10-19,Wednesday,10,5220
2022-10-19,Wednesday,11,15020
2022-10-19,Wednesday,12,7542
2022-10-19,Wednesday,13,3431
